"GEO_ID";"GEO_NAME";"VARIABLE";VALUE;"UNIT";"STATUS";"STATUS_DESC";"DESC_VAL";"PERIOD_REF";"SOURCE";"LAST_UPDATE";"GEOM_CODE";"GEOM";"GEOM_PERIOD";"MAP_ID";"MAP_URL"
"10";"Obfelden";"Revenu imposable, en mio. de francs";158;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"10";"Obfelden";"Revenu imposable par habitant/-e, en francs";31563;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"11";"Ottenbach";"Revenu imposable, en mio. de francs";98;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"11";"Ottenbach";"Revenu imposable par habitant/-e, en francs";38272;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"12";"Rifferswil";"Revenu imposable, en mio. de francs";37;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"12";"Rifferswil";"Revenu imposable par habitant/-e, en francs";35125;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"13";"Stallikon";"Revenu imposable, en mio. de francs";153;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"13";"Stallikon";"Revenu imposable par habitant/-e, en francs";44351;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"14";"Wettswil am Albis";"Revenu imposable, en mio. de francs";260;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"14";"Wettswil am Albis";"Revenu imposable par habitant/-e, en francs";52835;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"21";"Adlikon";"Revenu imposable, en mio. de francs";19;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"21";"Adlikon";"Revenu imposable par habitant/-e, en francs";28318;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"22";"Benken (ZH)";"Revenu imposable, en mio. de francs";30;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"22";"Benken (ZH)";"Revenu imposable par habitant/-e, en francs";34762;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"23";"Berg am Irchel";"Revenu imposable, en mio. de francs";22;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"23";"Berg am Irchel";"Revenu imposable par habitant/-e, en francs";38940;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"24";"Buch am Irchel";"Revenu imposable, en mio. de francs";32;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"24";"Buch am Irchel";"Revenu imposable par habitant/-e, en francs";33461;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"25";"Dachsen";"Revenu imposable, en mio. de francs";70;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"25";"Dachsen";"Revenu imposable par habitant/-e, en francs";35358;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"26";"Dorf";"Revenu imposable, en mio. de francs";22;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"26";"Dorf";"Revenu imposable par habitant/-e, en francs";35895;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"27";"Feuerthalen";"Revenu imposable, en mio. de francs";117;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"27";"Feuerthalen";"Revenu imposable par habitant/-e, en francs";32851;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"28";"Flaach";"Revenu imposable, en mio. de francs";43;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"28";"Flaach";"Revenu imposable par habitant/-e, en francs";31758;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"29";"Flurlingen";"Revenu imposable, en mio. de francs";61;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"29";"Flurlingen";"Revenu imposable par habitant/-e, en francs";42370;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"30";"Andelfingen";"Revenu imposable, en mio. de francs";82;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
"30";"Andelfingen";"Revenu imposable par habitant/-e, en francs";37633;"Francs";"A";"Normaler Wert";"";"2015-01-01/2015-12-31";"ESTV";"2019-06-04";"polg";"Communes";"2015-01-01";"22567";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/22567_fr.html"
