"","...1","ID","net_inc_percap2019","net_inc2019","plr","year","Nom","udc","pdc","ps","pes","pvl","pbd","pev_pcs","perc","dec","taux_participation"
"27",27,5141,32472,143,15.8,2019,"Agno",15.7,18.9,12.5,8.5,1.8,NA,NA,36,4,45.8
"28",28,5401,24341,248,32.2,2019,"Aigle",16.4,1.9,18.6,14.7,5.8,0.3,1.6,3,1,36.6
"29",29,6601,51338,60,20.7,2019,"Aire-la-Ville",18.5,11.4,9.2,20.7,5.5,1,0.1,92,10,49.8
"30",30,5061,30623,45,20.9,2019,"Airolo",11.5,36.4,7.1,3.1,0.9,NA,NA,24,3,65.5
"31",31,1121,31859,21,24.6,2019,"Alberswil",23.4,40.4,2.5,5.9,2.2,NA,0.6,32,4,46.1
"32",32,6102,28985,7,0.4,2019,"Albinen",27.3,52,9.1,9.9,1,NA,0.4,15,2,53.5
"33",33,3542,29733,38,8.4,2019,"Albula/Alvra",28,29.1,15.3,3.7,6.6,8.8,NA,19,2,38.4
"34",34,402,35523,20,3.6,2019,"Alchenstorf",50.6,1.4,9,6.2,5.1,15.2,2.9,55,6,50.1
"35",35,5851,49039,22,21.3,2019,"Allaman",24.2,0.7,15.6,21.7,11.8,0.2,0.1,90,9,41.2
"36",36,6771,28916,55,10.6,2019,"Alle",12.1,46.1,15.4,8.2,NA,NA,7.5,15,2,47.5
"37",37,630,50846,30,13,2019,"Allmendingen",33.1,1.9,10.8,9.4,10.3,12.6,2.3,91,10,61.8
"38",38,2762,43406,915,16.9,2019,"Allschwil",20,9.9,25.6,17,6,1.2,3.3,83,9,37.7
"39",39,1401,34620,210,17,2019,"Alpnach",35.9,35,2.8,NA,NA,NA,NA,48,5,50.8
"40",40,1361,40163,25,10.2,2019,"Alpthal",69.4,12,4,2.8,1.6,NA,0,75,8,57.5
"41",41,1122,34440,35,23.6,2019,"Altbüron",26.4,34.3,5.1,4.7,4.6,NA,0.6,47,5,49.1
"42",42,1201,37014,353,NA,2019,"Altdorf (UR)",28.9,34,34.8,NA,NA,NA,NA,62,7,50.9
"43",43,1341,68460,483,21.5,2019,"Altendorf",36.5,21.6,12.4,3.2,4.3,NA,0.5,98,10,48.2
"44",44,2291,32741,67,8.4,2019,"Alterswil",27.5,26.3,16.3,11,3.8,0.3,4.1,37,4,46.3
"45",45,211,38589,27,6.4,2019,"Altikon",59.2,2.7,9.4,5.6,6.2,1.5,2.6,69,7,55.6
"46",46,1123,33058,53,9.7,2019,"Altishofen",16.9,55.2,6.6,7.2,2.8,NA,0.8,39,4,50.4
"47",47,4641,38911,89,12.7,2019,"Altnau",31.7,11.5,14.7,15.5,8.3,1.5,1.7,70,7,43.6
"48",48,5237,33544,47,15.6,2019,"Alto Malcantone",15.2,17,17.5,15.5,1.3,NA,NA,43,5,53.9
"49",49,3251,33394,397,10.3,2019,"Altstätten",33.7,27.6,9.2,9.7,5.5,0.3,1.5,41,5,40.3
"50",50,1022,28639,12,6.6,2019,"Altwis",31.3,32.3,12.7,12.9,3.5,NA,0.4,14,2,50.9
"51",51,3311,39719,72,8.7,2019,"Amden",38.9,23.8,4.8,10.2,6.6,0.8,2.1,73,8,42.2
"52",52,4881,37103,50,7,2019,"Amlikon-Bissegg",55.9,9.4,6,5.7,5.9,4.7,1.9,63,7,48.6
"53",53,4191,37721,27,10.6,2019,"Ammerswil",41.5,3.8,17.6,11.1,9.7,2.9,1.6,66,7,44.2
"54",54,4461,30657,424,12.6,2019,"Amriswil",37.7,11.9,12,10.5,6.4,1.6,3.1,25,3,34.8
"55",55,921,35704,28,4.6,2019,"Amsoldingen",42.4,0.5,13.5,10.8,10.6,8.3,3,56,6,49.1
"56",56,3701,28288,26,15.9,2019,"Andeer",26.4,11.7,15.6,5.4,7.6,17.3,NA,13,2,47
"57",57,30,43960,99,15.4,2019,"Andelfingen",31.2,2.7,10.6,11.9,14.9,4,5.7,84,9,56.2
"58",58,1202,48896,70,NA,2019,"Andermatt",40.6,38.3,17.7,NA,NA,NA,NA,90,9,42.9
"59",59,3441,36768,73,18.4,2019,"Andwil (SG)",29.3,26.7,9.1,6.2,7.2,0.3,1.2,61,7,49.9
"60",60,6602,127468,304,36.9,2019,"Anières",15.9,7.4,4.6,16.6,7.8,1.6,1.2,100,10,52.3
"61",61,6252,37538,102,19.3,2019,"Anniviers",11.2,37.3,18.7,10.5,0.7,NA,0.7,65,7,59.9
