"","GEO_NAME","GEO_ID.y","net_income_mio","net_income_per_hab","Regions-ID","perc","decile","GEO_ID.x","party_share","share"
"74","Maschwanden",8,21,32350,8,63,7,8,"pvl_share",10.7
"75","Maschwanden",8,21,32350,8,63,7,8,"pev_share",8.2
"76","Maschwanden",8,21,32350,8,63,7,8,"udc_share",37.8
"77","Maschwanden",8,21,32350,8,63,7,8,"pss_share.x",20.7
"78","Maschwanden",8,21,32350,8,63,7,8,"pss_share.y",20.7
"79","Maschwanden",8,21,32350,8,63,7,8,"share_pdc",1.6
"80","Maschwanden",8,21,32350,8,63,7,8,"plr_share",6.1888422925
"81","Mettmenstetten",9,177,40436,9,87,9,9,"pbd_share",6.8
"82","Mettmenstetten",9,177,40436,9,87,9,9,"vert_share",7.9
"83","Mettmenstetten",9,177,40436,9,87,9,9,"pst_sol_share",0.1
"84","Mettmenstetten",9,177,40436,9,87,9,9,"pvl_share",13.4
"85","Mettmenstetten",9,177,40436,9,87,9,9,"pev_share",4.1
"86","Mettmenstetten",9,177,40436,9,87,9,9,"udc_share",30.6
"87","Mettmenstetten",9,177,40436,9,87,9,9,"pss_share.x",16.3
"88","Mettmenstetten",9,177,40436,9,87,9,9,"pss_share.y",16.3
"89","Mettmenstetten",9,177,40436,9,87,9,9,"share_pdc",4.6
"90","Mettmenstetten",9,177,40436,9,87,9,9,"plr_share",9.2976241592
"91","Obfelden",10,164,34424,10,72,8,10,"pbd_share",7.2
"92","Obfelden",10,164,34424,10,72,8,10,"vert_share",6.6
"93","Obfelden",10,164,34424,10,72,8,10,"pst_sol_share",0.1
"94","Obfelden",10,164,34424,10,72,8,10,"pvl_share",9.5
"95","Obfelden",10,164,34424,10,72,8,10,"pev_share",4.4
"96","Obfelden",10,164,34424,10,72,8,10,"udc_share",32
"97","Obfelden",10,164,34424,10,72,8,10,"pss_share.x",16.3
"98","Obfelden",10,164,34424,10,72,8,10,"pss_share.y",16.3
"99","Obfelden",10,164,34424,10,72,8,10,"share_pdc",6.5
"100","Obfelden",10,164,34424,10,72,8,10,"plr_share",11.0145044482
"101","Ottenbach",11,98,39767,11,86,9,11,"pbd_share",5.8
"102","Ottenbach",11,98,39767,11,86,9,11,"vert_share",8.4
"103","Ottenbach",11,98,39767,11,86,9,11,"pst_sol_share",0.2
"104","Ottenbach",11,98,39767,11,86,9,11,"pvl_share",11.6
"105","Ottenbach",11,98,39767,11,86,9,11,"pev_share",2.3
"106","Ottenbach",11,98,39767,11,86,9,11,"udc_share",30.9
"107","Ottenbach",11,98,39767,11,86,9,11,"pss_share.x",16.8
"108","Ottenbach",11,98,39767,11,86,9,11,"pss_share.y",16.8
"109","Ottenbach",11,98,39767,11,86,9,11,"share_pdc",4.5
"110","Ottenbach",11,98,39767,11,86,9,11,"plr_share",15.4940184804
"111","Rifferswil",12,35,37515,12,82,9,12,"pbd_share",3.9
"112","Rifferswil",12,35,37515,12,82,9,12,"vert_share",13.7
"113","Rifferswil",12,35,37515,12,82,9,12,"pst_sol_share",0.1
"114","Rifferswil",12,35,37515,12,82,9,12,"pvl_share",12.2
"115","Rifferswil",12,35,37515,12,82,9,12,"pev_share",6.3
"116","Rifferswil",12,35,37515,12,82,9,12,"udc_share",28.5
"117","Rifferswil",12,35,37515,12,82,9,12,"pss_share.x",19.1
"118","Rifferswil",12,35,37515,12,82,9,12,"pss_share.y",19.1
"119","Rifferswil",12,35,37515,12,82,9,12,"share_pdc",2.5
"120","Rifferswil",12,35,37515,12,82,9,12,"plr_share",6.5985585333
"121","Stallikon",13,157,48053,13,94,10,13,"pbd_share",7.9
"122","Stallikon",13,157,48053,13,94,10,13,"vert_share",5.4
"123","Stallikon",13,157,48053,13,94,10,13,"pst_sol_share",0
"124","Stallikon",13,157,48053,13,94,10,13,"pvl_share",12.6
"125","Stallikon",13,157,48053,13,94,10,13,"pev_share",1.9
"126","Stallikon",13,157,48053,13,94,10,13,"udc_share",33.5
"127","Stallikon",13,157,48053,13,94,10,13,"pss_share.x",16.3
"128","Stallikon",13,157,48053,13,94,10,13,"pss_share.y",16.3
"129","Stallikon",13,157,48053,13,94,10,13,"share_pdc",5.4
"130","Stallikon",13,157,48053,13,94,10,13,"plr_share",13.5621631379
"131","Wettswil am Albis",14,247,53857,14,96,10,14,"pbd_share",6.7
"132","Wettswil am Albis",14,247,53857,14,96,10,14,"vert_share",4.3
"133","Wettswil am Albis",14,247,53857,14,96,10,14,"pst_sol_share",0.1
"134","Wettswil am Albis",14,247,53857,14,96,10,14,"pvl_share",13.7
"135","Wettswil am Albis",14,247,53857,14,96,10,14,"pev_share",2.9
"136","Wettswil am Albis",14,247,53857,14,96,10,14,"udc_share",29.5
"137","Wettswil am Albis",14,247,53857,14,96,10,14,"pss_share.x",14.1
"138","Wettswil am Albis",14,247,53857,14,96,10,14,"pss_share.y",14.1
"139","Wettswil am Albis",14,247,53857,14,96,10,14,"share_pdc",5.7
"140","Wettswil am Albis",14,247,53857,14,96,10,14,"plr_share",18.4407470516
"141","Adlikon",21,22,38520,21,84,9,21,"pbd_share",6.4
"142","Adlikon",21,22,38520,21,84,9,21,"vert_share",5.5
"143","Adlikon",21,22,38520,21,84,9,21,"pst_sol_share",0
"144","Adlikon",21,22,38520,21,84,9,21,"pvl_share",7.9
"145","Adlikon",21,22,38520,21,84,9,21,"pev_share",4.6
"146","Adlikon",21,22,38520,21,84,9,21,"udc_share",55.7
"147","Adlikon",21,22,38520,21,84,9,21,"pss_share.x",7.5
"148","Adlikon",21,22,38520,21,84,9,21,"pss_share.y",7.5
